Project,IssueID,URL,Title,Status,CreatedAt,BugType ,StackLayer,CTClass,subtype,DUB,reason Bug,reason Stack,reason Class
NVIDIA/cuda-quantum,2560,https://github.com/NVIDIA/cuda-quantum/issues/2560,Input argument to a kernel throws an error,open,2025-01-30T16:21:31Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,A,,,"A kernel with def kernel(list) cannot be called with a = [(1,2)]. The Python bridge raises an error while trying to interpret the list. ",Parses annotations and builds python to Q type mapping. Seems to be high level Python API to framework mapping problem.,A stronger static checker for the Python fron-end could detect that list of touples is an unsupported operation. Fits A
NVIDIA/cuda-quantum,2550,https://github.com/NVIDIA/cuda-quantum/issues/2550,[Python] Noise channels don't respect single/double precision setting of the target,closed,2025-01-28T00:33:22Z,Performance-/Numerik-Bug,Backend-Library,C,,,"In NoiseModel.h, kraus_op data is templated (cudaq::complex). However, when generating Python binding (py_NoiseModel.cpp), this is compiled only with double precision config. This caused bogus Kraus channel data for single-precision targets, e.g., when the channel is created in Python with cudaq.KrausChannel",It is a classic backend library config problem for the Python binings. Model templates and their Python exposure seem to be inconsistent.,Needs verification that c or cpp File is built for both float and double. Underlying issue is numeric implementation error.
NVIDIA/cuda-quantum,2541,https://github.com/NVIDIA/cuda-quantum/issues/2541,Python ast bridge and kernel builder do not properly annotate kernels,closed,2025-01-24T21:20:06Z,Backend-/Framework-Integrations-Bug ,Framework-Integration ,B ,B2,, A kernel function must be annotated with the cudaq-kernel attribute. Python doesn't do this making proper identification of kernel functions impossible,"Python front end generates Q-IR, bridge omits the kernel annotation in the produced metadata, independent of backend simulator or environment.",metadata validator could check any callable exposed as Cuda-Q kernel carries the cudaq-kernel attribute and flag missing annotations before compilation. Would requiere lots of effort with metadata checks. 
NVIDIA/cuda-quantum,2540,https://github.com/NVIDIA/cuda-quantum/issues/2540,Python AST Builder assigns quantum memory artifacts to classic memory locations,closed,2025-01-24T21:10:55Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,B ,B2,,"Lowering generiert ein Muster, das Quanten-Referenzen in ein klassisches Array kopiert, was laut IR-Semantik verboten ist.","Backend-Library"": Das Problem liegt in den Codegen-/Optimizer-P�ssen f�r Quake/CC-IR, nicht im User-Frontend.","(potenziell compile-time vermeidbar, fortgeschrittene Analyse)"": Ein IR-Verifier k�nnte verbieten, dass quake.ref in klassische Datenstrukturen gespeichert wird (lokales Pattern, aber spezieller Check n�tig)."
NVIDIA/cuda-quantum,2538,https://github.com/NVIDIA/cuda-quantum/issues/2538,Python kernel builder uses empty strings for measurement names,closed,2025-01-24T20:04:52Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,A,,,"Python-Kernel-Builder erzeugt Mess-Operationen mit leerem Namen, obwohl dies in der IR als illegal definiert ist.","Fehler sitzt im High-Level-Builder, der ung�ltige IR erzeugt.","Ein einfacher lokaler Check ""Name darf nicht leer sein"" im Builder oder IR-Verifier w�rde dieses Pattern deterministisch verhindern."
NVIDIA/cuda-quantum,2536,https://github.com/NVIDIA/cuda-quantum/issues/2536,Compile error when using `cudaq::adjoint` on quantum kernels with non-trivial `for` loop conditions,open,2025-01-24T14:47:30Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,C,,,Aus User-Sicht korrekte Schleifen (z.B. i < size-1 oder while (i < size)) lassen sich nicht adjungieren und f�hren zu Compilerfehlern/Crashes.,"Problem stammt aus den MLIR/CFG-/Adjoint-P�ssen im Compiler, nicht aus Umgebung oder Backend-Auswahl.","Fehlende Unterst�tzung bestimmter Kontrollflussformen in der Adjoint-Pipeline ist ein Compiler-Implementierungsproblem, das nicht durch Zusatzchecks am Usercode vermieden werden kann."
NVIDIA/cuda-quantum,2525,https://github.com/NVIDIA/cuda-quantum/issues/2525,cudaq.control() doesn't work with exp_pauli(),closed,2025-01-21T17:57:24Z,Performance-/Numerik-Bug ,Backend-Library ,C,,1894,"The circuit perform the exp_pauli() on both the |0> and the |1> subspaces on the state. If I instead, perform a cudaq.control() with a different gate, say Ry(), I get the correct result. ",The problem resides in the backend library’s implementation of exp_pauli and its interaction with cudaq.control for controlled multi-qubit exponentials,This is a semantic error in the backend’s numerical logic for controlled exp_pauli. It cannot be ruled out by generic compile-time or static type checks and requires runtime validation
NVIDIA/cuda-quantum,2457,https://github.com/NVIDIA/cuda-quantum/issues/2457,`mx` operation unsupported in OpenQASM conversion,closed,2024-12-09T19:27:09Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,,,"Currently, a CUDA-Q kernel containing the mx measurement operation cannot be translated into OpenQASM 2.0 via cudaq.translate()",Possible error in integration btw Cuda-Qs Quake IR and the OpenQASM 2 backend.,a static checker couldn't generally know which operations a given translation backend supports
NVIDIA/cuda-quantum,2453,https://github.com/NVIDIA/cuda-quantum/issues/2453,Float comparison operator throws throws error in cudaq.kernel,closed,2024-12-05T21:43:47Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,B ,B2,,"Attempting to use comparison operators like < throws an error in a cudaq.kernel. Used kernel is a = 0.5 < 1.0. This will throw: error: 'arith.cmpi' op operand #0 must be signless-integer-like, but got 'f64' ","the high-level kernel code is valid Python, but the bridge emits an arith.cmpi op with the wrong type constraints ",A IR validator or operator-compatibility check could statically flag that float operands are being fed to an integer-only compare op 
NVIDIA/cuda-quantum,2452,https://github.com/NVIDIA/cuda-quantum/issues/2452,Error not thrown when broadcasting custom unitary to a qvector.,open,2024-12-05T19:24:02Z,API-/Usage-/Logic-Bug (High-Level) ,High-Level-API / Framework-Logic ,A,,,"When attempting to broadcast a custom unitary to a qvector, an error is not thrown. In the reproducer below, the kernel produces an incorrect result when sampled. ",The issue is in the high-level Python API / kernel-call that wires cudaq.qvector arguments into registered custom operations ,A front-end checker could statically compare the arity implied by the custom-op matrix with the argument shape 
NVIDIA/cuda-quantum,2434,https://github.com/NVIDIA/cuda-quantum/issues/2434,cudaErrorIllegalAddress error when using exp_pauli(...) on multiple GPUs,open,2024-11-28T15:14:43Z,Performance-/Numerik-Bug,Backend-Library,C,,,"When using exp_pauli(pauli string) in a kernel, cudaq.observe(...) and cudaq.sample(...) calls result in the error:  RuntimeError: cudaErrorIllegalAddress ",Error arises in the CUDA-Q backend library that implements multi-GPU execution of exp_pauli. ,Illegal address on the GPU is a low-level runtime bug. Nothing which could be detected reasonably within compiletime
NVIDIA/cuda-quantum,2425,https://github.com/NVIDIA/cuda-quantum/issues/2425,[braket] Reorder global register to be in original qubit allocation order,open,2024-11-27T01:25:48Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,,,"Reorder global register to be in original qubit allocation order for braket backend, if we run any qubit mapping. ",A framework integration issue in the Braket backend’s mapping layer. Cuda-Q kernel and API seem to be fine.  ,Whether a backend reorders qubits after mapping is a backend-specific integration detail. A generic compile-time checker on user code cannot easily see or forbid this.
NVIDIA/cuda-quantum,2415,https://github.com/NVIDIA/cuda-quantum/issues/2415,Failure when building `OptTransforms` library alone.,closed,2024-11-25T19:12:49Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment,B ,B1,,Teil-Build von OptTransforms erzeugt fehlende generierte Header nicht und schl�gt beim Kompilieren fehl.,"Fehler tritt im CMake/Ninja-Buildprozess auf, bevor irgendetwas ausgef�hrt wird.","(potenziell compile-time vermeidbar, fortgeschrittene Analyse)"": Ein Build-System-Check k�nnte gezielt pr�fen, ob alle generierten Includes korrekt als Abh�ngigkeiten angelegt sind."
NVIDIA/cuda-quantum,2306,https://github.com/NVIDIA/cuda-quantum/issues/2306,Unified memory support on GH200 Grace Hopper,closed,2024-10-21T16:49:29Z,Performance-/Numerik-Bug ,Backend-Library,C,,,"Simulation scheitert mit ""requested size is too big"", obwohl Hardware mit Unified Memory eigentlich mehr Qubits erlauben sollte.","Limitierung entsteht durch cuQuantum-/Backend-Speicherallokation (z.B. cudaMalloc vs. cudaMallocManaged), nicht durch User-Code oder Build.","Nutzung von Unified Memory ist ein Implementierungs-/Architekturthema des Backends, das sich nicht durch User-seitige Compile-Time-Checks ""vermeiden"" l�sst."
NVIDIA/cuda-quantum,2279,https://github.com/NVIDIA/cuda-quantum/issues/2279,Inconsistent behavior with mid-circuit measurements while sampling if NO reset is performed after the measurement,open,2024-10-14T22:58:54Z,Performance-/Numerik-Bug,Backend-Library,C,,,"emantisch identische Kernels liefern unterschiedliche __global__-Verteilungen, weil Mid-Circuit-Meas den State nicht kollabiert.","Ursache liegt in der Implementierung der Simulatoren (bis auf stim), die Mid-Circuit-Meas falsch modellieren.",Das ist eine grundlegende Simulations-Semantikfrage und nur durch �nderung der Simulator-Implementierungen l�sbar.
NVIDIA/cuda-quantum,2274,https://github.com/NVIDIA/cuda-quantum/issues/2274,Erroneous mid-circuit measurements while sampling if a reset is performed after the measurement,closed,2024-10-14T15:30:10Z,Performance-/Numerik-Bug,Backend-Library,C,,,Mid-circuit measurements are being reported with incorrect values if a reset follows them. I believe this affects all of the existing simulators. ,The problem sits in the simulator backend. the reset implementation does not flush pending sampling tasks ,Whether the simulator correctly flushes its internal sampling queue on reset is purely a runtime implementation detail 
NVIDIA/cuda-quantum,2271,https://github.com/NVIDIA/cuda-quantum/issues/2271,Mid-circuit measurements are not handled properly when using `__qpu__` attributes on C++ functions or lambdas,open,2024-10-14T00:40:22Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,,,"Runtime kann Funktionsnamen von __qpu__-Kernels nicht aufl�sen, daher werden Mid-Circuit-Conditionals falsch behandelt","Problem sitzt im Zusammenspiel von Compiler-/QIR-Metadata und Runtime (kernelHasConditionalFeedback), nicht in User-API oder Backend-Kern.","Ob Kernel-Namen korrekt im Runtime-Metadaten-Map landen, ist eine interne Integrationsfrage und nicht durch statische Analyse des Usercodes vermeidbar."
NVIDIA/cuda-quantum,2249,https://github.com/NVIDIA/cuda-quantum/issues/2249,anyon target is not stable in CI,closed,2024-10-03T20:05:12Z,Performance-/Numerik-Bug,Backend-Library,C,,,"Mid-Circuit-Register bleibt immer 00000, weil Sampling-/Reset-Logik im Simulator nicht korrekt miteinander interagiert.","Bug liegt in den Simulator-Implementierungen (resetQubit / Sampling-Tasks), die alle Targets betreffen.",Korrekte Behandlung von Reset + Sampling ist Teil der Simulator-Algorithmik und nicht durch zus�tzliche User-seitige Compile-Time-Checks abfangbar.
NVIDIA/cuda-quantum,2240,https://github.com/NVIDIA/cuda-quantum/issues/2240,List defined inside a kernel passed into subkernel throws an error,open,2024-10-01T12:25:32Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"Die Draw-Funktion interagiert mit dem custatevec-Pfad so, dass exp_pauli einen Initialisierungsfehler ausl�st, obwohl sample funktioniert."," Problem im Zusammenspiel von High-Level-Kernel/Draw-API und Backend-/Library-Aufruf, nicht im User-Kernel selbst.",ehler liegt in der konkreten Implementierung des Draw-/Backend-Pfads und l�sst sich nicht durch zus�tzliche statische Checks am User-Code verhindern.
NVIDIA/cuda-quantum,2196,https://github.com/NVIDIA/cuda-quantum/issues/2196,FuseWithConstantArray on ExtractValueOp always returns success(),closed,2024-09-06T16:20:11Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,B ,B2,,"Der MLIR-Pass gibt ""success"" zur�ck, obwohl kein Pattern angewendet wurde, und blockiert damit weitere Canonicalization-Patterns.","Bug sitzt im Compiler-/Optimizer-Pass der Quake/CC-IR, nicht in User-API oder Umgebung.","Ein IR-/Pass-Validator k�nnte die Inkonsistenz ""Erfolg ohne �nderung"" statisch finden; das erfordert aber spezielle Compiler-Analysen, nicht nur einfache Typchecks."
NVIDIA/cuda-quantum,2185,https://github.com/NVIDIA/cuda-quantum/issues/2185,`nvidia` target: simulation errors when setting `CUDAQ_MAX_CPU_MEMORY_GB` beyond system memory capacity,open,2024-09-02T04:18:07Z,Config-/Environment-Bug,Runtime-/Framework-Runtime ,C,,,"Dokumentierte Umgebungsvariable verh�lt sich f�r ""unlimited"" oder zu gro�e Werte nicht robust und f�hrt zu Laufzeitfehlern / falschen Resultaten.","Fehler liegt in der Laufzeitlogik, wie die Simulatoren Host-/GPU-Speichergrenzen interpretieren, nicht in Build oder User-API.",Die Relation zwischen physischem Speicher und Konfiguration der Runtime ist nicht �ber Analyse des Usercodes abfangbar; n�tig ist robustere Runtime-Implementierung.
NVIDIA/cuda-quantum,2157,https://github.com/NVIDIA/cuda-quantum/issues/2157,Drawing conditional measurement operations,open,2024-08-27T09:28:43Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,ie Zeichnen-Funktion ignoriert bedingte Gates basierend auf Messergebnissen und verletzt damit die erwartete Visualisierungs-Semantik.,"Fehler liegt in der High-Level-Darstellungs-/Visualisierungslogik, unabh�ngig von Backend und Numerik.","Das Problem ist fehlende Funktionalit�t der Draw-API; Compile-Time-Checks am Kernel-Code k�nnen das nicht ""verhindern"", nur die Implementierung selbst kann es beheben."
NVIDIA/cuda-quantum,2110,https://github.com/NVIDIA/cuda-quantum/issues/2110,C++ segfault when passing callable kernel to another kernel from library,open,2024-08-19T23:22:46Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,,,"Das Pattern ""Kernel in lib.cpp, Aufruf �ber std::function in user.cpp"" ist aus C++-Sicht legitim, f�hrt aber in CUDA-Q zu einem Laufzeitcrash.","Problem sitzt in der Art, wie das Runtime-/Compiler-System Kernel-Symbole �ber �bersetzungseinheiten und Funktionsobjekte hinweg behandelt.",Hier fehlt Unterst�tzung in der Toolchain/Runtime; zus�tzliche statische Checks am Usercode w�rden eher einschr�nken als sinnvoll vermeiden.
NVIDIA/cuda-quantum,2092,https://github.com/NVIDIA/cuda-quantum/issues/2092,Incorrect spin op expression evaluation,closed,2024-08-14T20:18:13Z,Performance-/Numerik-Bug,Backend-Library,C,,,"Die generierte Matrix f�r die Operator-Kombination ist falsch, w�hrend die umgekehrte Reihenfolge korrekt ist.",Ursache ist ein Fehler in der Implementierung der Spin-Operator-Algebra / Matrixkonstruktion.,"Das ist ein reiner Algebra-/Implementierungsbug, der nicht durch statische Analyse des Usercodes verhindert werden kann."
NVIDIA/cuda-quantum,2088,https://github.com/NVIDIA/cuda-quantum/issues/2088,Target tests appear to sometimes use files from installation directory,closed,2024-08-13T17:04:14Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment,B ,B1,,Targettests h�ngen implizit von einem vorherigen make install ab und testen damit nicht konsistent den aktuellen Build.," Problem liegt in CMake/Test-Konfiguration (Pfad-/RPATH-/Suchreihenfolge), nicht in Laufzeit oder Kerneln.","Eine strengere Build-/Test-Validierung k�nnte pr�fen, ob Tests wirklich die im Build-Verzeichnis erzeugten Artefakte verwenden."
NVIDIA/cuda-quantum,2076,https://github.com/NVIDIA/cuda-quantum/issues/2076,`qvector` initialization from state does not work unless no other qubits have been allocated yet,closed,2024-08-12T13:13:51Z,Performance-/Numerik-Bug,Backend-Library,C,,,"Initialisierung von q = cudaq.qvector(vec) beeinflusst unerwartet das vorgelagerte Qubit p, sodass die Messverteilung falsch ist.","Fehler in der Implementierung der State-Init-Routinen der nvidia-*-Backends, nicht in API-Usage oder Build.",Korrektheit der Statepr�paration ist reine Backend-Algorithmik und l�sst sich praktisch nicht durch Typ-/Contract-Checks am User-Kernel absichern.
NVIDIA/cuda-quantum,1975,https://github.com/NVIDIA/cuda-quantum/issues/1975,Synthesis fails for some kernels that use `cudaq::slice_vector`,closed,2024-07-19T20:59:04Z,API-/Usage-/Logic-Bug (High-Level),Framework-Integration,C,,,"Nutzung von slice_vector/observe erzeugt IR, die der Synthesizer/NVQC-Pfad nicht unterst�tzt.",Bug im Zusammenspiel zwischen CUDA-Q-Frontend (Pointer-/Slice-API) und der nachgelagerten Synthese-/NVQC-Infrastruktur.,"Das ist ein L�cken-/Kompatibilit�tsproblem im Synthesizer; zus�tzliche Analysen des Usercodes w�rden es nicht vermeiden, sondern nur fr�here Fehlermeldungen erzeugen."
NVIDIA/cuda-quantum,1957,https://github.com/NVIDIA/cuda-quantum/issues/1957,[MLIR mode] Compile error for `pauli_word` argument,closed,2024-07-18T05:53:38Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"In MLIR mode, compiling a kernel that takes a cudaq::pauli_word and passes it to exp_pauli(theta, q, pauli) fails with error: could not determine string argument",Issue is probably in the compiler and not API misuse or backend simulation.,Would need a type validator for the MLIR path. Advanced knowledge and implementation in combination with specialised compiler-level analysis instead of some kind of type checking
NVIDIA/cuda-quantum,1946,https://github.com/NVIDIA/cuda-quantum/issues/1946,current version of cudaq.draw throws error if kernel uses exp_pauli,closed,2024-07-17T16:47:33Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,,,"Semantisch korrekter Aufruf mit cudaq::pauli_word wird vom Compiler als ""could not determine string argument"" abgewiesen.","Ursache ist ein Fehler im MLIR-/Codegen-Pfad f�r exp_pauli mit pauli_word, nicht in der API-Nutzung oder Umgebung.","Es fehlt eine Implementierung/�berladung im Compiler; das ist keine Situation, die man mit st�rkeren Typ-/Contract-Checks am User-Code sinnvoll ""vermeiden"" k�nnte."
NVIDIA/cuda-quantum,1925,https://github.com/NVIDIA/cuda-quantum/issues/1925,[CI] [tensornet] Attempt to set target causes fatal error in some OS environments,open,2024-07-12T23:03:00Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,,,"Test, der alle Targets parametrisiert durchl�uft, bringt CI-L�ufe zum Crash, wenn optionale Simulatoren nicht korrekt verf�gbar/integrated sind.","Problem liegt im Zusammenspiel von Test-Infrastruktur, set_target und optionalen Backends in unterschiedlichen OS-/CI-Umgebungen.",Hier geht es um robuste Implementierung von Target-Erkennung/-Fehlerbehandlung in Code und CI; das l�sst sich nicht sinnvoll durch zus�tzliche Compile-Time-Analysen der User-Kernels verhindern.
NVIDIA/cuda-quantum,1924,https://github.com/NVIDIA/cuda-quantum/issues/1924,[Python] Remote execution speed up doesn't support custom operations,open,2024-07-12T21:51:44Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,,,"Lokale Registrierung von custom_h funktioniert, aber Remote-Server meldet ""known kernels are []"" und kann den Kernel nicht ausf�hren.",Fehler sitzt in der Integration zwischen Python-Frontend/Custom-Op-Registry und Remote-Execution-Service.,"Ob Custom-Operationen korrekt zum Remote-Backend transportiert/registriert werden, ist eine Integrationsfrage und nicht durch statische Analyse des User-Codes abfangbar."
NVIDIA/cuda-quantum,1909,https://github.com/NVIDIA/cuda-quantum/issues/1909,cudaq.observe causes a memory leak,closed,2024-07-10T05:34:33Z,Performance-/Numerik-Bug,Runtime-/Framework-Runtime ,C,,,peichernutzung w�chst bei vielen observe-Aufrufen kontinuierlich und wird nicht freigegeben.,"Problem liegt im Ressourcen-/Speichermanagement der Runtime/Execution-Engine, nicht im Compiler oder in der API-Semantik.",Speicherlecks dieser Art sind klassische Runtime-Implementierungsbugs und nicht durch Compile-Time-Analysen des User-Programms zu verhindern.
NVIDIA/cuda-quantum,1895,https://github.com/NVIDIA/cuda-quantum/issues/1895,Endian is inconsistent between State and SpinOperator.to_matrix,closed,2024-07-08T07:26:25Z,Performance-/Numerik-Bug,Backend-Library ,C,,,Erwartungswert aus observe und direkte Berechnung state @ to_matrix() @ state liefern unterschiedliche Ergebnisse wegen unterschiedlicher Endianness-Konvention.,Fehler liegt in der Implementierung von SpinOperator.to_matrix bzw. der Zuordnung von Operator zu Zustandsbasis.,Inkonsequente Endianness ist ein Design-/Implementierungsfehler in der Library und l�sst sich nicht durch statische Analyse von User-Kernels vermeiden.
NVIDIA/cuda-quantum,1894,https://github.com/NVIDIA/cuda-quantum/issues/1894,Controlled exp_pauli is not correct,closed,2024-07-08T07:08:46Z,Performance-/Numerik-Bug ,Backend-Library ,C,,2525,DOUBLE,DOUBLE,DOUBLE 
NVIDIA/cuda-quantum,1875,https://github.com/NVIDIA/cuda-quantum/issues/1875,issue with if condition after mid circuit measurement,closed,2024-07-01T15:17:07Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,C,,,"Semantisch �quivalente Kontrolllogik mit and und verschachtelten if-Statements f�hrt zu unterschiedlichem Verhalten, a wird im zweiten Fall nicht gesetzt.","Ursache ist die Codegen-/Lowering-Logik f�r boolesche Ausdr�cke und Mess-Ergebnisse, nicht Environment oder Backend-Selection."," Das ist ein Compiler-/IR-Lowering-Bug; zus�tzliche statische Checks am User-Kernel w�rden ihn nicht verhindern, nur Implementierungsfixes im Codegen."
NVIDIA/cuda-quantum,1874,https://github.com/NVIDIA/cuda-quantum/issues/1874,Execution hangs on OpenSUSE when installed via installer,closed,2024-07-01T13:16:37Z,Performance-/Numerik-Bug,Runtime-/Framework-Runtime ,C,,,Ausf�hrung auf GPU-Backends unter OpenSUSE blockiert bzw. l�uft nur nach Timeout weiter.,Problem liegt in der Interaktion von CUDA-Q-Runtime mit libc++/OS-spezifischer Umgebung beim Starten/Ausf�hren der GPU-Backends.,OS-/Runtime-spezifische H�nger dieser Art sind Implementierungs-/Konfigurationsdetails der Runtime und nicht durch zus�tzliche Compile-Time-Analysen am User-Code vermeidbar.
NVIDIA/cuda-quantum,1871,https://github.com/NVIDIA/cuda-quantum/issues/1871,Calling the same quantum kernel in cudaq.control and cudaq.adjoint in the main kernel give error.,closed,2024-06-30T13:35:07Z,API-/Usage-/Logic-Bug (High-Level),Framework-Integration ,C,,,"
BugType - 1.4 ""API-/Usage-/Logic-Bug (High-Level)"": Aus User-Sicht legitime Kombination von kontrolliertem und adjungiertem Kernel f�hrt zu ""does not reference a valid function"".",,"Ursache ist die MLIR/Codegen-Behandlung von adjungierten/kontrollierten Funktionssymbolen, nicht Python-Usage oder Environment."
NVIDIA/cuda-quantum,1860,https://github.com/NVIDIA/cuda-quantum/issues/1860,Build dependency missing for python?,closed,2024-06-27T20:45:25Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment ,B ,B1,,suspect that there may be missing boilerplate regarding copying the .py files in our cmake recipes. ,This is a build / environment configuration issue in the CUDA-Q installation flow ,"A simple configure-time check in CMake could fix this problem, so B1"
